Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  4.00   11.4   1.20e-06    3074.
n = 2971

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  2.05821191e+03  3.19631095e-03  3.19636730e-03  9.99982357e-01
  2.05691528e+03  3.19896266e-03  3.19901481e-03  9.99983668e-01
  2.05562061e+03  3.20153125e-03  3.20165930e-03  9.99960005e-01
  2.05432739e+03  3.20421648e-03  3.20430030e-03  9.99973834e-01
  2.05303589e+03  3.20687611e-03  3.20693781e-03  9.99980688e-01
  2.05174609e+03  3.20958905e-03  3.20957229e-03  1.00000525e+00
  2.05045386e+03  3.21215694e-03  3.21221142e-03  9.99983013e-01
  2.04916309e+03  3.12930206e-03  3.12932930e-03  9.99991238e-01
  2.04787402e+03  3.10652354e-03  3.13198683e-03  9.91869926e-01
  2.04658655e+03  3.13466322e-03  3.13464110e-03  1.00000715e+00
  2.04530078e+03  3.13495495e-03  3.13729211e-03  9.99255061e-01
  2.04401245e+03  3.13993404e-03  3.13999108e-03  9.99981880e-01
  2.04272595e+03  3.14265862e-03  3.14269960e-03  9.99986947e-01
  2.04144080e+03  3.14522139e-03  3.14540486e-03  9.99941647e-01
  2.04015735e+03  2.61974684e-03  3.14810663e-03  8.32165778e-01
  2.03887561e+03  3.15029989e-03  3.15080513e-03  9.99839664e-01
  2.03759143e+03  3.15346592e-03  3.15350876e-03  9.99986410e-01
  2.03630884e+03  3.13356100e-03  3.15620890e-03  9.92824376e-01
  2.03502783e+03  3.15960916e-03  3.15890554e-03  1.00022268e+00
  2.03374854e+03  3.16156726e-03  3.16159870e-03  9.99989986e-01
  2.03247070e+03  3.16391862e-03  3.16428882e-03  9.99883056e-01
  2.03119055e+03  3.16694821e-03  3.16698384e-03  9.99988794e-01
  2.02991187e+03  3.16911354e-03  3.16967536e-03  9.99822736e-01
